,Bird Species,Count,Location,Time Period
66,Olive-backed sunbird,0,Spotted Dove---Ridge View Residential College,0933
67,Black-naped oriole,0,Spotted Dove---Ridge View Residential College,0933
68,Rock pigeon,0,Spotted Dove---Ridge View Residential College,0933
69,Yellow-vented bulbul,0,Spotted Dove---Ridge View Residential College,0933
70,Javan myna,2,Spotted Dove---Behind ERC,1022
71,Olive-backed sunbird,0,Spotted Dove---Behind ERC,1022
72,Black-naped oriole,0,Spotted Dove---Behind ERC,1022
73,Rock pigeon,0,Spotted Dove---Behind ERC,1022
74,Yellow-vented bulbul,0,Spotted Dove---Behind ERC,1022
75,Javan myna,2,Spotted Dove---Cinnamon College,1033
76,Olive-backed sunbird,0,Spotted Dove---Cinnamon College,1033
77,Black-naped oriole,0,Spotted Dove---Cinnamon College,1033
78,Rock pigeon,0,Spotted Dove---Cinnamon College,1033
79,Yellow-vented bulbul,2,Spotted Dove---Cinnamon College,1033
80,Javan myna,11,Spotted Dove---Engineering Drive 2,1039
81,Olive-backed sunbird,0,Spotted Dove---Engineering Drive 2,1039
82,Black-naped oriole,0,Spotted Dove---Engineering Drive 2,1039
83,Rock pigeon,1,Spotted Dove---Engineering Drive 2,1039
84,Yellow-vented bulbul,0,Spotted Dove---Engineering Drive 2,1039
85,Javan myna,0,Spotted Dove---CAPT,1045
86,Olive-backed sunbird,0,Spotted Dove---CAPT,1045
87,Black-naped oriole,0,Spotted Dove---CAPT,1045
88,Rock pigeon,0,Spotted Dove---CAPT,1045
89,Yellow-vented bulbul,2,Spotted Dove---CAPT,1045
90,Javan myna,2,Spotted Dove---YNC (Field),1100
91,Olive-backed sunbird,0,Spotted Dove---YNC (Field),1100
92,Black-naped oriole,0,Spotted Dove---YNC (Field),1100
93,Rock pigeon,0,Spotted Dove---YNC (Field),1100
94,Yellow-vented bulbul,3,Spotted Dove---YNC (Field),1100
95,Javan myna,0,Spotted Dove---Beside Venus,1110
96,Olive-backed sunbird,0,Spotted Dove---Beside Venus,1110
97,Black-naped oriole,2,Spotted Dove---Beside Venus,1110
98,Rock pigeon,0,Spotted Dove---Beside Venus,1110
99,Yellow-vented bulbul,0,Spotted Dove---Beside Venus,1110
100,Javan myna,3,Spotted Dove---Computing Dr behind The Deck,1150
101,Olive-backed sunbird,0,Spotted Dove---Computing Dr behind The Deck,1150
102,Black-naped oriole,0,Spotted Dove---Computing Dr behind The Deck,1150
103,Rock pigeon,0,Spotted Dove---Computing Dr behind The Deck,1150
104,Yellow-vented bulbul,2,Spotted Dove---Computing Dr behind The Deck,1150
105,Javan myna,2,Spotted Dove---Cross Section (Kent Ridge Dr meets Compting Dr),1200
106,Olive-backed sunbird,2,Spotted Dove---Cross Section (Kent Ridge Dr meets Compting Dr),1200
107,Black-naped oriole,0,Spotted Dove---Cross Section (Kent Ridge Dr meets Compting Dr),1200
108,Rock pigeon,0,Spotted Dove---Cross Section (Kent Ridge Dr meets Compting Dr),1200
109,Yellow-vented bulbul,1,Spotted Dove---Cross Section (Kent Ridge Dr meets Compting Dr),1200
110,Javan myna,3,"Collared Kingfisher---NUS Medical Drive, across MD10",1016
111,Olive-backed sunbird,0,"Collared Kingfisher---NUS Medical Drive, across MD10",1016
112,Black-naped oriole,0,"Collared Kingfisher---NUS Medical Drive, across MD10",1016
113,Rock pigeon,0,"Collared Kingfisher---NUS Medical Drive, across MD10",1016
114,Yellow-vented bulbul,2,"Collared Kingfisher---NUS Medical Drive, across MD10",1016
115,Javan myna,4,"Collared Kingfisher---Footpath along AYE, next to Carpark 10",1036
116,Olive-backed sunbird,0,"Collared Kingfisher---Footpath along AYE, next to Carpark 10",1036
117,Black-naped oriole,0,"Collared Kingfisher---Footpath along AYE, next to Carpark 10",1036
118,Rock pigeon,0,"Collared Kingfisher---Footpath along AYE, next to Carpark 10",1036
119,Yellow-vented bulbul,0,"Collared Kingfisher---Footpath along AYE, next to Carpark 10",1036
120,Javan myna,2,"Collared Kingfisher---Along AYE, next to Carpark 10",1053
121,Olive-backed sunbird,0,"Collared Kingfisher---Along AYE, next to Carpark 10",1053
122,Black-naped oriole,2,"Collared Kingfisher---Along AYE, next to Carpark 10",1053
123,Rock pigeon,0,"Collared Kingfisher---Along AYE, next to Carpark 10",1053
124,Yellow-vented bulbul,0,"Collared Kingfisher---Along AYE, next to Carpark 10",1053
125,Javan myna,2,Collared Kingfisher---Town Green,1118
126,Olive-backed sunbird,0,Collared Kingfisher---Town Green,1118
127,Black-naped oriole,0,Collared Kingfisher---Town Green,1118
128,Rock pigeon,0,Collared Kingfisher---Town Green,1118
129,Yellow-vented bulbul,0,Collared Kingfisher---Town Green,1118
130,Javan myna,1,Collared Kingfisher---Between Yale-NUS Saga College and SRC,0802
131,Olive-backed sunbird,0,Collared Kingfisher---Between Yale-NUS Saga College and SRC,0802
